channel,eventNum,format,idHex,peakRssi,timestamp,type
907.15,196,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:50.918-0500","CUSTOM"
915.25,197,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:51.789-0500","CUSTOM"
909.85,198,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:52.134-0500","CUSTOM"
910.3,199,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:52.803-0500","CUSTOM"
907.6,200,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:53.157-0500","CUSTOM"
909.4,201,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:53.806-0500","CUSTOM"
912.55,202,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:54.810-0500","CUSTOM"
912.55,203,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:54.820-0500","CUSTOM"
908.05,204,"epc","1111111111111111111111ee",-56,"2025-06-03T10:21:55.802-0500","CUSTOM"
908.05,205,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:55.823-0500","CUSTOM"
922.45,206,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:56.827-0500","CUSTOM"
919.3,207,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:57.831-0500","CUSTOM"
903.1,208,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:58.417-0500","CUSTOM"
921.55,209,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:58.831-0500","CUSTOM"
914.35,210,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:59.512-0500","CUSTOM"
914.35,211,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:59.846-0500","CUSTOM"
924.7,212,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:00.850-0500","CUSTOM"
904.45,213,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:01.073-0500","CUSTOM"
918.85,214,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:01.855-0500","CUSTOM"
908.95,215,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:02.646-0500","CUSTOM"
908.95,216,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:02.859-0500","CUSTOM"
905.35,217,"epc","1111111111111111111111ee",-56,"2025-06-03T10:22:03.862-0500","CUSTOM"
905.35,218,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:03.863-0500","CUSTOM"
923.35,219,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:04.876-0500","CUSTOM"
913.9,220,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:05.483-0500","CUSTOM"
906.7,221,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:05.879-0500","CUSTOM"
913.0,222,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:06.499-0500","CUSTOM"
920.65,223,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:06.884-0500","CUSTOM"
911.2,224,"epc","1111111111111111111111ee",-57,"2025-06-03T10:22:07.523-0500","CUSTOM"
904.0,225,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:07.888-0500","CUSTOM"
905.8,226,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:08.527-0500","CUSTOM"
905.8,227,"epc","1111111111111111111111ff",-62,"2025-06-03T10:22:08.892-0500","CUSTOM"
906.25,228,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:09.541-0500","CUSTOM"
916.15,229,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:09.895-0500","CUSTOM"
907.15,230,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:10.545-0500","CUSTOM"
917.05,231,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:10.899-0500","CUSTOM"
909.85,232,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:11.649-0500","CUSTOM"
909.85,233,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:11.902-0500","CUSTOM"
907.6,234,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:12.651-0500","CUSTOM"
922.9,235,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:12.905-0500","CUSTOM"
918.4,236,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:13.909-0500","CUSTOM"
912.55,237,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:14.396-0500","CUSTOM"
922.0,238,"epc","1111111111111111111111ff",-58,"2025-06-03T10:22:14.913-0500","CUSTOM"
908.05,239,"epc","1111111111111111111111ee",-56,"2025-06-03T10:22:15.419-0500","CUSTOM"
924.25,240,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:15.916-0500","CUSTOM"
919.75,241,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:16.919-0500","CUSTOM"
903.1,242,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:17.912-0500","CUSTOM"
903.1,243,"epc","1111111111111111111111ff",-58,"2025-06-03T10:22:17.943-0500","CUSTOM"
914.8,244,"epc","1111111111111111111111ff",-58,"2025-06-03T10:22:18.946-0500","CUSTOM"
903.55,245,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:19.493-0500","CUSTOM"
925.6,246,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:19.949-0500","CUSTOM"
904.45,247,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:20.669-0500","CUSTOM"
904.45,248,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:20.962-0500","CUSTOM"
917.95,249,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:21.976-0500","CUSTOM"
908.95,250,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:22.280-0500","CUSTOM"
917.5,251,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:22.980-0500","CUSTOM"
905.35,252,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:23.496-0500","CUSTOM"
904.9,253,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:23.983-0500","CUSTOM"
913.9,254,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:24.975-0500","CUSTOM"
913.9,255,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:24.995-0500","CUSTOM"
913.0,256,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:25.978-0500","CUSTOM"
913.0,257,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:25.988-0500","CUSTOM"
911.2,258,"epc","1111111111111111111111ee",-57,"2025-06-03T10:22:26.994-0500","CUSTOM"
911.2,259,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:26.995-0500","CUSTOM"
908.5,260,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:27.988-0500","CUSTOM"
908.5,261,"epc","1111111111111111111111ff",-61,"2025-06-03T10:22:27.999-0500","CUSTOM"
906.25,262,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:28.993-0500","CUSTOM"
906.25,263,"epc","1111111111111111111111ff",-60,"2025-06-03T10:22:29.003-0500","CUSTOM"
913.45,264,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:30.000-0500","CUSTOM"
913.45,265,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:30.010-0500","CUSTOM"
915.25,266,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:31.004-0500","CUSTOM"
909.85,267,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:31.247-0500","CUSTOM"
907.6,268,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:32.008-0500","CUSTOM"
907.6,269,"epc","1111111111111111111111ee",-55,"2025-06-03T10:22:32.251-0500","CUSTOM"
909.4,270,"epc","1111111111111111111111ff",-57,"2025-06-03T10:22:33.011-0500","CUSTOM"
912.55,271,"epc","1111111111111111111111ff",-59,"2025-06-03T10:22:34.015-0500","CUSTOM"
