CRC,PC,antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,<class 'type'>
ebf0,3000,5,904.45,163,epc,e2801191a5030069bb92b1f1,-71,-125.95111083984375,1,2025-05-28T12:32:48.912-0500,CUSTOM
9496,3000,6,918.85,165,epc,98003480000000000076a282,-66,-22.638019561767578,1,2025-05-28T12:32:49.599-0500,CUSTOM
83c5,30ae,5,918.85,166,epc,1a88ef6d80f9a5297a0a38bf,-66,-63.288673400878906,1,2025-05-28T12:32:49.801-0500,CUSTOM
d8b2,3000,5,917.5,170,epc,111111111111111111111111,-46,176.37989807128906,1,2025-05-28T12:32:51.044-0500,CUSTOM
d8b2,3000,6,904.9,173,epc,111111111111111111111111,-62,-76.30237579345703,1,2025-05-28T12:32:52.186-0500,CUSTOM
94f7,3000,5,913.45,174,epc,1111111111111111111111fa,-46,65.48600769042969,1,2025-05-28T12:38:05.404-0500,CUSTOM
d8b2,3000,5,913.45,175,epc,111111111111111111111111,-49,137.7288055419922,1,2025-05-28T12:38:05.405-0500,CUSTOM
ebf0,3000,6,913.45,176,epc,e2801191a5030069bb92b1f1,-67,123.38023376464844,1,2025-05-28T12:38:05.496-0500,CUSTOM
9496,3000,6,917.05,177,epc,98003480000000000076a282,-69,-12.810449600219727,1,2025-05-28T12:38:06.319-0500,CUSTOM
d8b2,3000,5,915.25,178,epc,111111111111111111111111,-48,172.0841064453125,1,2025-05-28T12:38:06.633-0500,CUSTOM
94f7,3000,5,915.25,179,epc,1111111111111111111111fa,-46,93.62834930419922,1,2025-05-28T12:38:06.815-0500,CUSTOM
ebf0,3000,6,915.25,180,epc,e2801191a5030069bb92b1f1,-68,150.4568634033203,1,2025-05-28T12:38:06.916-0500,CUSTOM
d8b2,3000,5,907.6,181,epc,111111111111111111111111,-49,29.10367202758789,1,2025-05-28T12:38:07.936-0500,CUSTOM
94f7,3000,5,907.6,182,epc,1111111111111111111111fa,-47,-23.939939498901367,1,2025-05-28T12:38:08.128-0500,CUSTOM
ebf0,3000,5,922.9,183,epc,e2801191a5030069bb92b1f1,-66,-87.9427490234375,1,2025-05-28T12:38:08.320-0500,CUSTOM
d8b2,3000,5,918.4,184,epc,111111111111111111111111,-49,-126.90695190429688,1,2025-05-28T12:38:09.118-0500,CUSTOM
94f7,3000,5,915.7,185,epc,1111111111111111111111fa,-46,100.29175567626953,1,2025-05-28T12:38:09.452-0500,CUSTOM
ebf0,3000,6,915.7,186,epc,e2801191a5030069bb92b1f1,-68,159.57579040527344,1,2025-05-28T12:38:09.613-0500,CUSTOM
94f7,3000,6,908.05,188,epc,1111111111111111111111fa,-68,-82.89987182617188,1,2025-05-28T12:38:10.769-0500,CUSTOM
ebf0,3000,5,924.25,189,epc,e2801191a5030069bb92b1f1,-66,-57.98760986328125,1,2025-05-28T12:38:10.931-0500,CUSTOM
d8b2,3000,5,922.45,190,epc,111111111111111111111111,-51,-35.816524505615234,1,2025-05-28T12:38:11.689-0500,CUSTOM
94f7,3000,5,919.75,191,epc,1111111111111111111111fa,-46,158.4276885986328,1,2025-05-28T12:38:12.082-0500,CUSTOM
9496,3000,6,919.75,192,epc,98003480000000000076a282,-67,77.08792114257812,1,2025-05-28T12:38:12.103-0500,CUSTOM
ebf0,3000,6,919.75,193,epc,e2801191a5030069bb92b1f1,-66,163.51451110839844,1,2025-05-28T12:38:12.113-0500,CUSTOM
d8b2,3000,5,921.1,194,epc,111111111111111111111111,-50,-65.98040771484375,1,2025-05-28T12:38:13.012-0500,CUSTOM
94f7,3000,6,903.1,195,epc,1111111111111111111111fa,-69,-167.8927001953125,1,2025-05-28T12:38:13.436-0500,CUSTOM
ebf0,3000,6,921.55,196,epc,e2801191a5030069bb92b1f1,-64,-176.34144592285156,1,2025-05-28T12:38:13.658-0500,CUSTOM
d8b2,3000,5,914.8,197,epc,111111111111111111111111,-48,164.43190002441406,1,2025-05-28T12:38:14.325-0500,CUSTOM
94f7,3000,5,903.55,198,epc,1111111111111111111111fa,-49,-82.54280090332031,1,2025-05-28T12:38:14.841-0500,CUSTOM
ebf0,3000,5,925.6,199,epc,e2801191a5030069bb92b1f1,-65,-30.03204345703125,1,2025-05-28T12:38:15.229-0500,CUSTOM
d8b2,3000,5,924.7,200,epc,111111111111111111111111,-53,7.751091003417969,1,2025-05-28T12:38:15.634-0500,CUSTOM
94f7,3000,5,904.45,201,epc,1111111111111111111111fa,-49,-69.55107116699219,1,2025-05-28T12:38:16.139-0500,CUSTOM
ebf0,3000,5,926.95,202,epc,e2801191a5030069bb92b1f1,-64,-4.356212139129639,1,2025-05-28T12:38:16.523-0500,CUSTOM
d8b2,3000,5,918.85,203,epc,111111111111111111111111,-50,-116.35425567626953,1,2025-05-28T12:38:16.856-0500,CUSTOM
9496,3000,6,918.85,204,epc,98003480000000000076a282,-66,44.051025390625,1,2025-05-28T12:38:16.876-0500,CUSTOM
94f7,3000,5,917.95,205,epc,1111111111111111111111fa,-45,131.8289794921875,1,2025-05-28T12:38:17.533-0500,CUSTOM
d8b2,3000,5,917.5,206,epc,111111111111111111111111,-48,-144.31532287597656,1,2025-05-28T12:38:18.098-0500,CUSTOM
ebf0,3000,6,917.5,207,epc,e2801191a5030069bb92b1f1,-69,159.60874938964844,1,2025-05-28T12:38:18.189-0500,CUSTOM
94f7,3000,5,905.35,208,epc,1111111111111111111111fa,-48,-57.37784957885742,1,2025-05-28T12:38:18.815-0500,CUSTOM
d8b2,3000,5,912.1,209,epc,111111111111111111111111,-48,113.37686920166016,1,2025-05-28T12:43:35.164-0500,CUSTOM
